trans_num,trans_date,category,amt,offer_id,expiration_date,response
0,2013-01-01,misc_net,31.45,NUL,NUL,NUL
1,2013-01-01,entertainment,4.14,NUL,NUL,NUL
2,2013-01-03,personal_care,1.28,NUL,NUL,NUL
3,2013-01-04,misc_net,4.3,NUL,NUL,NUL
4,2013-01-04,shopping_pos,2918.27,NUL,NUL,NUL
5,2013-01-04,misc_net,0.36,NUL,NUL,NUL
6,2013-01-04,grocery_pos,52.86,NUL,NUL,NUL
7,2013-01-05,kids_pets,60.45,NUL,NUL,NUL
8,2013-01-05,misc_net,56.86,NUL,NUL,NUL
9,2013-01-05,utilities,126.79,NUL,NUL,NUL
10,2013-01-05,personal_care,55.43,NUL,NUL,NUL
11,2013-01-05,personal_care,48.26,NUL,NUL,NUL
12,2013-01-06,pharmacy,0.84,NUL,NUL,NUL
13,2013-01-08,kids_pets,53.98,NUL,NUL,NUL
14,2013-01-11,gas_transport,58.22,NUL,NUL,NUL
15,2013-01-11,shopping_net,129.73,NUL,NUL,NUL
16,2013-01-12,shopping_pos,13.1,NUL,NUL,NUL
17,2013-01-13,gas_transport,53.74,NUL,NUL,NUL
18,2013-01-13,entertainment,73.15,NUL,NUL,NUL
19,2013-01-14,food_dining,55.55,NUL,NUL,NUL
20,2013-01-14,grocery_net,9.31,NUL,NUL,NUL
21,2013-01-15,health_fitness,1.99,NUL,NUL,NUL
22,2013-01-16,health_fitness,53.78,NUL,NUL,NUL
23,2013-01-16,health_fitness,2.1,NUL,NUL,NUL
24,2013-01-18,health_fitness,17.09,NUL,NUL,NUL
25,2013-01-19,gas_transport,76.74,NUL,NUL,NUL
26,2013-01-19,personal_care,22.28,NUL,NUL,NUL
27,2013-01-19,personal_care,5.73,NUL,NUL,NUL
28,2013-01-20,gas_transport,45.43,NUL,NUL,NUL
29,2013-01-20,health_fitness,23.65,NUL,NUL,NUL
30,2013-01-20,entertainment,13.27,NUL,NUL,NUL
31,2013-01-21,grocery_pos,38.7,NUL,NUL,NUL
32,2013-01-21,kids_pets,68.5,NUL,NUL,NUL
33,2013-01-22,kids_pets,48.65,NUL,NUL,NUL
34,2013-01-23,shopping_pos,1730.78,NUL,NUL,NUL
35,2013-01-24,gas_transport,72.49,NUL,NUL,NUL
36,2013-01-24,health_fitness,3.39,NUL,NUL,NUL
37,2013-01-28,gas_transport,62.85,NUL,NUL,NUL
38,2013-02-01,pharmacy,5.04,NUL,NUL,NUL
39,2013-02-02,pharmacy,33.63,NUL,NUL,NUL
40,2013-02-03,shopping_net,0.89,NUL,NUL,NUL
41,2013-02-05,shopping_pos,298.2,NUL,NUL,NUL
42,2013-02-06,shopping_pos,28.18,3.0,2013-02-13,0.0
43,2013-02-07,gas_transport,104.3,NUL,NUL,NUL
44,2013-02-08,gas_transport,73.6,NUL,NUL,NUL
45,2013-02-08,home,46.89,NUL,NUL,NUL
46,2013-02-08,entertainment,19.39,NUL,NUL,NUL
47,2013-02-09,personal_care,0.22,NUL,NUL,NUL
48,2013-02-10,entertainment,60.29,NUL,NUL,NUL
49,2013-02-11,utilities,14.14,NUL,NUL,NUL
50,2013-02-12,personal_care,1.41,NUL,NUL,NUL
51,2013-02-13,kids_pets,12.61,NUL,NUL,NUL
52,2013-02-13,kids_pets,9.76,NUL,NUL,NUL
53,2013-02-15,health_fitness,5.52,NUL,NUL,NUL
54,2013-02-16,kids_pets,45.27,NUL,NUL,NUL
55,2013-02-18,utilities,35.67,NUL,NUL,NUL
56,2013-02-19,gas_transport,59.84,NUL,NUL,NUL
57,2013-02-20,food_dining,2.01,NUL,NUL,NUL
58,2013-02-20,kids_pets,37.65,NUL,NUL,NUL
59,2013-02-22,gas_transport,56.24,NUL,NUL,NUL
60,2013-02-22,food_dining,17.13,NUL,NUL,NUL
61,2013-02-22,gas_transport,29.25,NUL,NUL,NUL
62,2013-02-23,food_dining,26.74,NUL,NUL,NUL
63,2013-02-23,grocery_pos,16.55,NUL,NUL,NUL
64,2013-02-23,grocery_pos,11.37,NUL,NUL,NUL
65,2013-02-24,misc_net,0.26,NUL,NUL,NUL
66,2013-02-24,food_dining,0.83,NUL,NUL,NUL
67,2013-02-25,personal_care,38.37,NUL,NUL,NUL
68,2013-02-26,shopping_pos,21.72,NUL,NUL,NUL
69,2013-03-01,gas_transport,51.22,NUL,NUL,NUL
70,2013-03-02,pharmacy,13.66,NUL,NUL,NUL
71,2013-03-03,food_dining,11.46,NUL,NUL,NUL
72,2013-03-03,utilities,18.45,NUL,NUL,NUL
73,2013-03-03,personal_care,1.09,NUL,NUL,NUL
74,2013-03-04,entertainment,11.12,NUL,NUL,NUL
75,2013-03-05,entertainment,45.03,NUL,NUL,NUL
